Goal 1 1
Tile Ceiling 22 3
Tile Ceiling 23 3
Tile Ceiling 25 3
Tile Ceiling 26 3
Tile Ceiling 27 3
Tile Ceiling 28 3
Tile Ceiling 29 3

Dec Ground1 37 3
Tile Ground2 38 3
Tile Ground3 39 3
Tile Ground2 40 3
Tile Ground3 41 3
Tile Ground2 42 3
Tile Ground2 44 3
Tile Ground3 45 3
Tile Ground2 46 3
Tile Ground3 47 3
Dec Ground1 37 0
Tile Ground2 38 0
Tile Ground3 39 0
Tile Ground2 40 0
Tile Ground3 41 0
Tile Ground2 42 0
Tile Ground3 43 0
Tile Ground2 44 0
Tile Ground3 45 0
Tile Ground2 46 0
Tile Ground3 47 0
Tile Ground2 48 0
Dec Ground4 49 0
Dec Ladder1 43 3
Dec Ladder1 43 2
Dec Ladder2 43 1
Tile lWall3 38 1
Tile lWall1 38 2
Tile rWall3 48 1
Tile rWall2 48 2
Tile rWall2 48 3
Tile rWall2 48 4
Tile rWall2 48 5
Tile rWall2 48 6
Tile rWall2 48 7
Tile rWall2 48 8
Tile rWall2 48 9
Dec lColumn1L 47 8
Dec lColumn2L 47 7
Dec lColumn2L 47 6
Dec lColumn3L 47 5
Dec lColumn4L 47 4
Dec rColumn1L 38 8
Dec rColumn1R 39 8
Dec rColumn2L 38 7
Dec rColumn2R 39 7
Dec rColumn2L 38 6
Dec rColumn2R 39 6
Dec rColumn3L 38 5
Dec rColumn3R 39 5
Dec rColumn4L 38 4
Dec rColumn4R 39 4
Dec sWindow1M 40 8
Dec sWindow1M 41 8
Dec sWindow1M 42 8
Dec hWindow1L 40 7
Dec hWindow1M 41 7
Dec hWindow1R 42 7
Dec hWindow2L 40 6
Dec hWindow2M 41 6
Dec hWindow2R 42 6
Dec hWindow3L 40 5
Dec hWindow3M 41 5
Dec hWindow3R 42 5
Dec hWindow4L 40 4
Dec hWindow4M 41 4
Dec hWindow4R 42 4
Dec mColumn1 43 8
Dec mColumn2 43 7
Dec mColumn2 43 6
Dec mColumn2 43 5
Dec mColumn4 43 4
Dec sWindow1M 44 8
Dec sWindow1M 45 8
Dec sWindow1M 46 8
Dec cWindow1L 44 7
Dec cWindow1M 45 7
Dec cWindow1R 46 7
Dec cWindow2L 44 6
Dec cWindow2M 45 6
Dec cWindow2R 46 6
Dec cWindow3L 44 5
Dec cWindow3M 45 5
Dec cWindow3R 46 5
Dec cWindow4L 44 4
Dec cWindow4M 45 4
Dec cWindow4R 46 4
Dec Ground1 37 9
Tile Ground2 38 9
Tile Ground3 39 9
Tile Ground2 40 9
Tile Ground3 41 9
Tile Ground2 42 9
Tile Ground3 43 9
Tile Ground2 44 9
Tile Ground3 45 9
Tile Ground2 46 9
Tile Ground2 48 9
Dec Ground4 49 9
Tile lWall3 38 10
Tile lWall1 38 11
Dec Ladder1 47 9
Dec Ladder1 47 8
Dec Ladder1 47 7
Dec Ladder1 47 6
Dec Ladder1 47 5
Dec Ladder1 47 4
Tile Ground2 38 12
Tile Ground3 39 12
Tile Ground2 40 12
Tile Ground3 41 12
Tile Ground2 42 12
Tile Ground3 43 12
Tile Ground2 44 12
Tile Ground3 45 12
Tile Ground2 46 12
Tile Ground3 47 12
Tile Ground2 48 12
Dec mColumn4 43 10
Dec mColumn1 43 11
Dec lColumn4L 47 10
Tile mColumn3 48 10
Dec lColumn3L 47 11
Tile mColumn3 48 11
Dec bPipe1L 44 11
Dec bPipe1M 45 11
Dec bPipe1R 46 11
Dec bPipe2L 44 10
Dec bPipe2M 45 10
Dec bPipe2R 46 10
Dec Grate1 39 11
Dec Grate2 39 10
Dec AC1 40 11
Dec AC2 41 11
Dec AC3 40 10
Dec AC4 41 10
Dec PC1 42 11
Dec PC2 42 10
Dec Wire1 44 2
Dec Wire2 44 1
Dec AC1 45 2
Dec AC2 46 2
Dec AC3 45 1
Dec AC4 46 1
Dec PC1 47 2
Dec PC2 47 1
Dec bPipe1L 39 2
Dec bPipe1M 40 2
Dec bPipe1R 41 2
Dec bPipe2L 39 1
Dec bPipe2M 40 1
Dec bPipe2R 41 1
Dec Wire1 42 2
Dec Wire2 42 1

Dec Ground1 51 0
Tile Ground2 52 0
Tile Ground3 53 0
Tile Ground2 54 0
Tile Ground3 55 0
Tile Ground2 56 0
Tile Ground3 57 0
Tile Ground2 58 0
Tile Ground3 59 0
Tile Ground2 60 0
Tile Ground3 61 0
Tile Ground2 62 0
Dec Ground4 63 0
Dec Ground1 51 5
Tile Ground2 52 5
Tile Ground3 53 5
Tile Ground2 54 5
Tile Ground3 55 5
Tile Ground2 56 5
Tile Ground3 57 5
Tile Ground2 58 5
Tile Ground3 59 5
Tile Ground2 60 5
Tile Ground3 61 5
Tile Ground2 62 5
Dec Ground4 63 5
Tile lWall3 52 6
Tile lWall2 52 7
Tile lWall2 52 8
Tile lWall1 52 9
Tile rWall3 62 6
Tile rWall2 62 7
Tile rWall2 62 8
Tile rWall1 62 9
Tile sWindow1M 53 6
Tile sWindow1M 53 7
Tile sWindow1M 53 8
Tile sWindow1M 53 9
Tile sWindow1M 61 6
Tile sWindow1M 61 7
Tile sWindow1M 61 8
Tile sWindow1M 61 9
Tile mColumn4 57 6
Tile mColumn2 57 7
Tile mColumn2 57 8
Tile mColumn1 57 9
Dec hWindow1L 54 9
Dec hWindow1M 55 9
Dec hWindow1R 56 9
Dec hWindow2L 54 8
Dec hWindow2M 55 8
Dec hWindow2R 56 8
Dec hWindow3L 54 7
Dec hWindow3M 55 7
Dec hWindow3R 56 7
Dec hWindow4L 54 6
Dec hWindow4M 55 6
Dec hWindow4R 56 6
Dec cWindow1L 58 9
Dec cWindow1M 59 9
Dec cWindow1R 60 9
Dec cWindow2L 58 8
Dec cWindow2M 59 8
Dec cWindow2R 60 8
Dec cWindow3L 58 7
Dec cWindow3M 59 7
Dec cWindow3R 60 7
Dec cWindow4L 58 6
Dec cWindow4M 59 6
Dec cWindow4R 60 6
Dec Ground1 51 10
Tile Ground2 52 10
Tile Ground3 53 10
Tile Ground2 54 10
Tile Ground3 55 10
Tile Ground2 56 10
Tile Ground3 57 10
Tile Ground2 58 10
Tile Ground3 59 10
Tile Ground2 60 10
Tile Ground3 61 10
Tile Ground2 62 10
Dec Ground4 63 10
Tile Ceiling 49 12
Tile Ceiling 50 12
Tile Ceiling 51 12
Tile lWall3 52 1
Tile lWall2 52 2
Tile lWall2 52 3
Tile lWall1 52 4
Tile rWall3 62 1
Tile rWall2 62 2
Tile rWall2 62 3
Tile rWall1 62 4
Tile sWindow1M 53 1
Tile sWindow1M 53 2
Tile sWindow1M 53 3
Tile sWindow1M 53 4
Tile sWindow1M 61 1
Tile sWindow1M 61 2
Tile sWindow1M 61 3
Tile sWindow1M 61 4
Tile mColumn4 57 1
Tile mColumn2 57 2
Tile mColumn2 57 3
Tile mColumn1 57 4
Dec cWindow1L 54 4
Dec cWindow1M 55 4
Dec cWindow1R 56 4
Dec cWindow2L 54 3
Dec cWindow2M 55 3
Dec cWindow2R 56 3
Dec cWindow3L 54 2
Dec cWindow3M 55 2
Dec cWindow3R 56 2
Dec cWindow4L 54 1
Dec cWindow4M 55 1
Dec cWindow4R 56 1
Dec oWindow1L 58 4
Dec oWindow1M 59 4
Dec oWindow1R 60 4
Dec oWindow2L 58 3
Dec oWindow2M 59 3
Dec oWindow2R 60 3
Dec oWindow3L 58 2
Dec oWindow3M 59 2
Dec oWindow3R 60 2
Dec oWindow4L 58 1
Dec oWindow4M 59 1
Dec oWindow4R 60 1
Tile lWall3 52 11
Tile sWindow1M 53 11
Tile hWindow4L 54 11
Tile hWindow4M 55 11
Tile hWindow4R 55 11
Tile mColumn4 56 11
Tile cWindow4L 57 11
Tile cWindow4M 58 11
Tile cWindow4R 59 11

Tile mColumn3 29 10
Tile mColumn3 29 9
Tile mColumn3 29 8
Tile mColumn3 29 7

PickUp ArrowIcon 20 1 4
PickUp ArrowIcon 20 1 4
PickUp ArrowIcon 40 10 4
PickUp ArrowIcon 40 10 4
PickUp HeartIcon 21 4 5
PickUp HeartIcon 27 4 5
PickUp HeartIcon 27 1 5
PickUp HeartIcon 46 1 5
PickUp HeartIcon 40 1 5

PickUp Bridge 49 1 3
PickUp Bridge 49 1 3
PickUp Bridge 49 1 3
PickUp Bridge 49 1 3
PickUp Bridge 49 1 3
PickUp Bridge 49 1 3
PickUp Bridge 49 1 3
PickUp Bridge 49 1 3

PickUp Bridge 51 1 3
PickUp Bridge 51 1 3
PickUp Bridge 51 1 3
PickUp Bridge 51 1 3
PickUp Bridge 51 1 3
PickUp Bridge 51 1 3
PickUp Bridge 51 1 3
PickUp Bridge 51 1 3

NPC Guard 3 7 3 1 1 Follow 3
NPC Guard 5 5 3 1 1 Follow 3
NPC Guard 7 7 3 1 1 Follow 3
NPC GoomBot 20 7 3 1 1 Follow 1
NPC GoomBot 20 4 3 1 1 Follow 1
NPC GoomBot 28 4 3 1 1 Follow 1
NPC GoomBot 26 1 3 1 1 Follow 1
NPC Droid 20 1 6 2 2 Patrol 1 2 20 1 22 1
NPC Droid 40 10 6 2 2 Patrol 1 2 40 10 42 10
NPC GoomBot 40 1 3 1 1 Follow 1
NPC GoomBot 46 1 3 1 1 Follow 1

Player 7 2 12 19 5 -18 20 0.75
